ID Major Bachelor Master Doctor
(3601, Education general, (590, 3021), (4372, 15859), (747, 1818))
(3602, Bilingual and multilingual education  , (7, 140), (56, 266), (2, 8))
(3603, Multicultural education  , (0, 2), (21, 79), (4, 9))
(3604, Indian/Native American education   , (0, 0), (0, 0), (0, 0))
(3605, Bilingual multilingual and multicultural education other  , (0, 0), (7, 78), (0, 3))
(3606, Curriculum and instruction , (8, 23), (2666, 12047), (322, 1052))
(3607, Educational leadership and administration  general , (13, 303), (6031, 12469), (1720, 2957))
(3608, Administration of special education , (0, 0), (6, 60), (2, 9))
(3609, Adult and continuing education administration , (0, 0), (96, 273), (14, 34))
(3610, Educational instructional  and curriculum supervision, (5, 31), (319, 962), (25, 78))
(3611, Higher education/higher education administration , (0, 0), (961, 2172), (231, 412))
(3612, Community college education , (0, 0), (17, 45), (78, 113))
(3613, Elementary and middle school administration/principalship  , (7, 113), (299, 433), (2, 10))
(3614, Secondary school administration/principalship , (0, 2), (140, 153), (3, 0))
(3615, Urban education and leadership  , (26, 53), (97, 287), (21, 56))
(3616, Superintendency and educational system administration  , (0, 0), (177, 285), (38, 97))
(3617, Educational administration and supervision other , (0, 0), (374, 873), (135, 262))
(3618, Educational/instructional technology , (27, 35), (1404, 3772), (69, 108))
(3619, Educational evaluation and research , (0, 0), (37, 59), (44, 100))
(3620, Educational statistics and research methods, (0, 0), (39, 55), (17, 28))
(3621, Educational assessment testing and measurement , (0, 0), (5, 59), (3, 9))
(3622, Learning sciences , (50, 320), (21, 78), (3, 7))
(3623, Educational assessment evaluation and research other   , (1, 13), (37, 91), (7, 23))
(3624, International and comparative education, (8, 39), (39, 274), (5, 6))
(3625, Social and philosophical foundations of education , (2, 18), (89, 244), (48, 82))
(3626, Special education and teaching  general  , (656, 5541), (1884, 9782), (47, 150))
(3627, Education/teaching of individuals with hearing impairments/deafness , (2, 74), (7, 125), (3, 3))
(3628, Education/teaching of the gifted and talented , (0, 0), (35, 277), (0, 1))
(3629, Education/teaching of individuals with emotional disturbances  , (3, 30), (18, 62), (1, 10))
(3630, Education/teaching of individuals with mental retardation   , (16, 96), (8, 36), (2, 1))
(3631, Education/teaching of individuals with multiple disabilities , (8, 103), (44, 219), (0, 0))
(3632, Educ/teach of individuals with orthopedic/physical health impair  , (0, 2), (0, 0), (0, 4))
(3633, Education/teaching of individuals with vision impairments/blindness, (2, 6), (20, 106), (0, 0))
(3634, Educ/teach of individuals with specific learning disabilities , (11, 140), (31, 241), (0, 0))
(3635, Education/teaching of individuals with speech/language impairments, (8, 135), (10, 291), (0, 0))
(3636, Education/teaching of individuals with autism, (0, 6), (103, 968), (0, 0))
(3637, Education/teaching of individuals who are developmentally delayed , (1, 19), (23, 148), (0, 0))
(3638, Educ/teach of individuals in early childhood spec educ programs, (34, 555), (39, 1012), (0, 0))
(3639, Education/teaching of individuals in elementary special educ programs , (32, 418), (122, 858), (0, 0))
(3640, Educ/teach of individuals in jr high/middle school special educ prog , (4, 35), (9, 33), (0, 0))
(3641, Education/teaching of individuals in secondary special educ prog , (2, 19), (129, 352), (0, 0))
(3642, Special education and teaching other, (26, 347), (126, 548), (1, 14))
(3643, Counselor education/school counseling and guidance services , (0, 3), (1893, 9140), (78, 245))
(3644, College student counseling and personnel services , (0, 0), (299, 849), (18, 39))
(3645, Student counseling and personnel services other , (0, 0), (42, 193), (2, 3))
(3646, Adult and continuing education and teaching, (9, 19), (289, 687), (42, 71))
(3647, Elementary education and teaching , (2230, 25254), (906, 6713), (5, 18))
(3648, Junior high/intermediate/middle school education and teaching, (571, 1576), (180, 502), (0, 0))
(3649, Secondary education and teaching, (1213, 1842), (2019, 3279), (5, 10))
(3650, Teacher education multiple levels, (176, 1229), (977, 3017), (2, 4))
(3651, Montessori teacher education, (0, 4), (12, 189), (0, 0))
(3652, Waldorf/Steiner teacher education , (0, 0), (0, 0), (0, 0))
(3653, Kindergarten/preschool education and teaching , (39, 865), (12, 189), (2, 8))
(3654, Early childhood education and teaching, (458, 11721), (115, 2914), (0, 17))
(3655, Teacher educ and prof dev specific levels and methods other, (22, 140), (824, 2698), (27, 67))
(3656, Agricultural teacher education , (190, 455), (60, 185), (8, 24))
(3657, Art teacher education, (92, 787), (113, 526), (5, 27))
(3658, Business teacher education, (69, 75), (31, 37), (0, 0))
(3659, Driver and safety teacher education  , (0, 0), (17, 6), (0, 0))
(3660, English/language arts teacher education  , (351, 1366), (184, 543), (7, 9))
(3661, Foreign language teacher education , (11, 62), (38, 154), (4, 5))
(3662, Health teacher education , (316, 818), (87, 210), (4, 22))
(3663, Family and consumer sciences/home economics teacher education , (18, 221), (1, 70), (0, 1))
(3664, Technology teacher education/industrial arts teacher education  , (214, 45), (156, 197), (3, 1))
(3665, Sales and marketing operations/marketing and dist teacher educ  , (7, 6), (0, 0), (0, 0))
(3666, Mathematics teacher education  , (387, 995), (421, 997), (25, 26))
(3667, Music teacher education, (1272, 1850), (428, 650), (48, 39))
(3668, Physical education teaching and coaching , (3617, 2920), (932, 642), (24, 16))
(3669, Reading teacher education , (1, 24), (280, 5157), (15, 87))
(3670, Science teacher education/general science teacher education   , (151, 272), (272, 556), (23, 36))
(3671, Social science teacher education , (224, 172), (69, 50), (0, 0))
(3672, Social studies teacher education, (622, 406), (241, 176), (1, 1))
(3673, Technical teacher education , (66, 91), (62, 77), (10, 29))
(3674, Trade and industrial teacher education, (286, 215), (86, 107), (6, 13))
(3675, Computer teacher education , (8, 54), (48, 87), (0, 0))
(3676, Biology teacher education, (99, 189), (73, 210), (1, 0))
(3677, Chemistry teacher education, (34, 40), (35, 48), (0, 0))
(3678, Drama and dance teacher education, (11, 97), (8, 58), (0, 0))
(3679, French language teacher education , (5, 14), (5, 14), (0, 0))
(3680, German language teacher education , (0, 4), (0, 1), (0, 0))
(3681, Health occupations teacher education, (0, 4), (10, 149), (2, 41))
(3682, History teacher education , (263, 206), (43, 39), (0, 0))
(3683, Physics teacher education, (23, 13), (32, 22), (0, 2))
(3684, Spanish language teacher education, (42, 166), (41, 101), (0, 0))
(3685, Speech teacher education, (5, 8), (5, 25), (1, 6))
(3686, Geography teacher education , (0, 0), (0, 1), (0, 0))
(3687, Latin teacher education , (1, 1), (3, 1), (0, 0))
(3688, School librarian/library media specialist, (0, 0), (20, 233), (0, 0))
(3689, Psychology teacher education, (0, 4), (0, 0), (0, 0))
(3690, Earth science teacher education , (11, 18), (21, 30), (1, 1))
(3691, Environmental education, (0, 1), (18, 62), (1, 0))
(3692, Teacher educ and prof dev specific subject areas other , (52, 111), (307, 1082), (10, 32))
(3693, Teaching English as a second/foreign language/ESL language instructor, (55, 228), (681, 2746), (15, 23))
(3694, Teaching English or French as a second or foreign lang  other, (5, 8), (2, 15), (0, 0))
(3695, Teacher assistant/aide , (1, 3), (0, 0), (0, 0))
(3696, Adult literacy tutor/instructor, (0, 0), (1, 15), (0, 0))
(3697, Education other , (391, 1213), (554, 1816), (123, 281))
